 12744002   E.T.Jurney+  1982  1-H-3  MXW  -- 2.53E-02  NAN 5.08E-04 1.50E-05
 11054002     L.Kaplan+  1952  1-H-3  SPA  -- 2.53E-02  NAN 5.70E-04 1.00E-05
 20301002    H.Ishikawa  1973  1-H-3  SPA  -- 2.53E-02  NAN 5.50E-04 1.00E-05
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year    sf4 sf8    sf9       en  den    ydata   yddata
 V1001003  S.F.Mughabghab  2006  1-H-3  --  RECOM 2.53E-02  NAN 5.08E-04 1.50E-05



2-He-3 (n,g)
# Evaluated data
# Maxw.(n,g)                     |  (n,g)
#     5.50E-05 (+/-  3.00E-06)   |          NAN  (+/-       NAN)
# EXFOR data mean
#     4.05E-05 (+/-  7.93E-06)
# EXFOR MXW/SPA data mean
#     6.88E-05 (+/-  1.50E-05)
# ------ EXFOR data ------
  dataset      firstauthor  year     sf4 sf8 sf9       en  den    ydata   yddata
 40656002  V.P.Alfimenkov+  1980  2-HE-4  --  -- 2.50E-02  NAN 2.70E-05 9.87E-06
 13185002     F.L.H.Wolfs+  1989  2-HE-4  --  -- 2.53E-02  NAN 5.40E-05 6.00E-06
# ------ MXW/SPA data ------
  dataset     firstauthor  year     sf4  sf8 sf9       en  den    ydata   yddata
 21311002      M.Suffert+  1979  2-HE-4  MXW  -- 2.53E-02  NAN 6.00E-05 1.20E-05
 22230002    R.Wervelman+  1991  2-HE-4  MXW  -- 2.53E-02  NAN 5.50E-05 3.00E-06
 11009002     A.Gallmann+  1960  2-HE-4  SPA  -- 2.53E-02  NAN 1.00E-04      NAN
 10919002  L.M.Bollinger+  1973  2-HE-4  SPA  -- 2.53E-02  NAN 6.00E-05 3.00E-05
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year     sf4 sf8    sf9       en  den    ydata   yddata
 V1001006  S.F.Mughabghab  2006  2-HE-4  --  RECOM 2.53E-02  NAN 5.50E-05 3.00E-06



2-He-4 (n,g)
# no Evaluated data
# EXFOR data mean
#          NAN (+/-       NAN)
# EXFOR MXW/SPA data mean
#          NAN (+/-       NAN)
# ------ EXFOR data ------
# ------ Recom./Eval./Deriv. data ------
  dataset firstauthor  year     sf4 sf8    sf9       en  den    ydata  yddata
 10017010  D.C.Rorer+  1969  2-HE-5  --  DERIV 2.53E-02  NAN 5.00E-02     NAN



3-Li-0 (n,g)
# no Evaluated data
# EXFOR data mean
#          NAN (+/-       NAN)
# EXFOR MXW/SPA data mean
#          NAN (+/-       NAN)
# ------ EXFOR data ------
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year sf4 sf8    sf9       en  den    ydata   yddata
 V1001010  S.F.Mughabghab  2006  --  --  RECOM 2.53E-02  NAN 4.48E-02 3.00E-03



3-Li-6 (n,g)
# Evaluated data
# Maxw.(n,g)                     |  (n,g)
#     3.93E-02 (+/-  7.00E-04)   |          NAN  (+/-       NAN)
# EXFOR data mean
#     3.93E-02 (+/-  7.00E-04)
# EXFOR MXW/SPA data mean
#     3.81E-02 (+/-  7.26E-03)
# ------ EXFOR data ------
  dataset     firstauthor  year     sf4 sf8 sf9       en  den    ydata   yddata
 31768023  R.B.Firestone+  2016  3-LI-7  --  -- 2.53E-02  NAN 3.93E-02 7.00E-04
# ------ MXW/SPA data ------
  dataset       firstauthor  year     sf4  sf8 sf9       en  den    ydata   yddata
 22510002        L.Jarczyk+  1961  3-LI-7  MXW  -- 2.53E-02  NAN 4.80E-02 1.50E-02
 11014002  G.A.Bartholomew+  1957  3-LI-7  SPA  -- 2.53E-02  NAN 2.80E-02 8.00E-03
 13879002        E.T.Jurney  1973  3-LI-7  SPA  -- 2.53E-02  NAN 3.85E-02 3.00E-03
 31570003    Chang Su Park+  2006  3-LI-7  SPA  -- 2.53E-02  NAN 3.77E-02 3.05E-03
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year     sf4 sf8    sf9       en  den    ydata   yddata
 V1001011  S.F.Mughabghab  2006  3-LI-7  --  RECOM 2.53E-02  NAN 3.85E-02 3.00E-03



3-Li-7 (n,g)
# Evaluated data
# Maxw.(n,g)                     |  (n,g)
#     4.42E-02 (+/-  5.00E-04)   |          NAN  (+/-       NAN)
# EXFOR data mean
#     4.43E-02 (+/-  5.00E-04)
# EXFOR MXW/SPA data mean
#     4.01E-02 (+/-  7.60E-03)
# ------ EXFOR data ------
  dataset     firstauthor  year     sf4 sf8 sf9       en  den    ydata   yddata
 31768025  R.B.Firestone+  2016  3-LI-8  --  -- 2.53E-02  NAN 4.43E-02 5.00E-04
# ------ MXW/SPA data ------
  dataset    firstauthor  year     sf4  sf8 sf9       en  den    ydata   yddata
 11143002    D.J.Hughes+  1947  3-LI-8  MXW  -- 2.53E-02  NAN 3.30E-02 5.00E-03
 40707002  E.A.Koltypin+  1956  3-LI-8  MXW  -- 2.53E-02  NAN 4.20E-02 1.00E-02
 11101004     W.L.Imhof+  1959  3-LI-8  MXW  -- 2.53E-02  NAN 4.00E-02 8.00E-03
 22510003     L.Jarczyk+  1961  3-LI-8  MXW  -- 2.53E-02  NAN 4.00E-02 1.20E-02
 13520002      J.E.Lynn+  1991  3-LI-8  SPA  -- 2.53E-02  NAN 4.54E-02 3.00E-03
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year     sf4 sf8    sf9       en  den    ydata   yddata
 V1001013  S.F.Mughabghab  2006  3-LI-8  --  RECOM 2.53E-02  NAN 4.54E-02 2.70E-03



4-Be-7 (n,g)
# no Evaluated data
# EXFOR data mean
#          NAN (+/-       NAN)
# EXFOR MXW/SPA data mean
#     1.55E-01 (+/-       NAN)
# ------ EXFOR data ------
# ------ MXW/SPA data ------
  dataset firstauthor  year     sf4  sf8 sf9       en  den    ydata  yddata
 20896003    P.Bassi+  1963  4-BE-8  MXW  -- 2.53E-02  NAN 1.55E-01     NAN



4-Be-9 (n,g)
# Evaluated data
# Maxw.(n,g)                     |  (n,g)
#     8.27E-03 (+/-  1.30E-04)   |          NAN  (+/-       NAN)
# EXFOR data mean
#     8.56E-03 (+/-  5.16E-04)
# EXFOR MXW/SPA data mean
#     1.03E-02 (+/-  2.93E-03)
# ------ EXFOR data ------
  dataset     firstauthor  year      sf4 sf8 sf9       en  den    ydata   yddata
 11204002     H.Palevsky+  1952  4-BE-10  --  -- 2.53E-02  NAN 1.00E-02 1.00E-03
 21470002         H.Rose+  1958  4-BE-10  --  -- 2.53E-02  NAN 8.00E-03      NAN
 12983002   C.M.Conneely+  1986  4-BE-10  --  -- 2.53E-02  NAN 8.49E-03 3.40E-04
 31768020  R.B.Firestone+  2016  4-BE-10  --  -- 2.53E-02  NAN 8.27E-03 1.30E-04
 23467005      A.Wallner+  2019  4-BE-10  --  -- 2.53E-02  NAN 8.11E-03 5.40E-04
 23467005      A.Wallner+  2019  4-BE-10  --  -- 2.53E-02  NAN 8.51E-03 5.70E-04
# ------ MXW/SPA data ------
  dataset     firstauthor  year      sf4  sf8 sf9       en  den    ydata   yddata
 11184002       R.Nobles+  1947  4-BE-10  MXW  -- 2.53E-02  NAN 1.02E-02 5.00E-04
 41648003  Yu.A.Prokhorov  1956  4-BE-10  MXW  -- 2.53E-02  NAN 1.80E-02 1.00E-02
 22510004      L.Jarczyk+  1961  4-BE-10  MXW  -- 2.53E-02  NAN 7.50E-03 1.00E-03
 11133003       E.Jurney+  1963  4-BE-10  MXW  -- 2.53E-02  NAN 9.20E-03 1.50E-03
 21513003         R.Vidal  1963  4-BE-10  MXW  -- 2.53E-02  NAN 9.30E-03 1.60E-03
 11184003       R.Nobles+  1947  4-BE-10  SPA  -- 2.53E-02  NAN 9.00E-03      NAN
 11247002     D.J.Hughes+  1947  4-BE-10  SPA  -- 2.53E-02  NAN 9.00E-03 3.00E-03
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year      sf4 sf8    sf9       en  den    ydata   yddata
 V1001017  S.F.Mughabghab  2006  4-BE-10  --  RECOM 2.53E-02  NAN 8.49E-03 3.40E-04



4-Be-10 (n,g)
# Evaluated data
# Maxw.(n,g)                     |  (n,g)
#     1.00E-03 (+/-       NAN)   |          NAN  (+/-       NAN)
# EXFOR data mean
#          NAN (+/-       NAN)
# EXFOR MXW/SPA data mean
#          NAN (+/-       NAN)
# ------ EXFOR data ------
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year      sf4 sf8    sf9       en  den    ydata  yddata
 V1001019  S.F.Mughabghab  2006  4-BE-11  --  RECOM 2.53E-02  NAN 1.00E-03     NAN



5-B-0 (n,g)
# no Evaluated data
# EXFOR data mean
#          NAN (+/-       NAN)
# EXFOR MXW/SPA data mean
#          NAN (+/-       NAN)
# ------ EXFOR data ------
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year sf4 sf8    sf9       en  den    ydata   yddata
 V1001020  S.F.Mughabghab  2006  --  --  RECOM 2.53E-02  NAN 6.70E-02 4.00E-03



5-B-10 (n,g)
# Evaluated data
# Maxw.(n,g)                     |  (n,g)
#     3.94E-01 (+/-  1.50E-02)   |          NAN  (+/-       NAN)
# EXFOR data mean
#     3.94E-01 (+/-  1.50E-02)
# EXFOR MXW/SPA data mean
#     3.95E-01 (+/-  1.20E-01)
# ------ EXFOR data ------
  dataset     firstauthor  year     sf4 sf8 sf9       en  den    ydata   yddata
 31768014  R.B.Firestone+  2016  5-B-11  --  -- 2.53E-02  NAN 3.94E-01 1.50E-02
# ------ MXW/SPA data ------
  dataset       firstauthor  year     sf4  sf8 sf9       en  den    ydata   yddata
 11014004  G.A.Bartholomew+  1957  5-B-11  SPA  -- 2.53E-02  NAN 5.00E-01 2.00E-01
 23486002        P.J.J.Kok+  1986  5-B-11  SPA  -- 2.53E-02  NAN 2.90E-01 4.00E-02
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year     sf4 sf8    sf9       en  den    ydata   yddata
 V1001021  S.F.Mughabghab  2006  5-B-11  --  RECOM 2.53E-02  NAN 3.05E-01 1.60E-02



5-B-11 (n,g)
# Evaluated data
# Maxw.(n,g)                     |  (n,g)
#     9.00E-03 (+/-  2.00E-04)   |          NAN  (+/-       NAN)
# EXFOR data mean
#     7.05E-03 (+/-  1.55E-03)
# EXFOR MXW/SPA data mean
#          NAN (+/-       NAN)
# ------ EXFOR data ------
  dataset     firstauthor  year     sf4 sf8 sf9       en  den    ydata   yddata
 11235006      W.L.Imhof+  1962  5-B-12  --  -- 2.53E-02  NAN 5.00E-03 3.00E-03
 31768017  R.B.Firestone+  2016  5-B-12  --  -- 2.53E-02  NAN 9.09E-03 1.00E-04
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year     sf4 sf8    sf9       en  den    ydata   yddata
 V1001023  S.F.Mughabghab  2006  5-B-12  --  RECOM 2.53E-02  NAN 5.50E-03 3.30E-03



6-C-0 (n,g)
# no Evaluated data
# EXFOR data mean
#          NAN (+/-       NAN)
# EXFOR MXW/SPA data mean
#          NAN (+/-       NAN)
# ------ EXFOR data ------
  dataset firstauthor  year sf4 sf8 sf9       en  den    ydata  yddata
 21470003     H.Rose+  1958  --  --  -- 2.53E-02  NAN 4.90E-03     NAN
# ------ MXW/SPA data ------
  dataset     firstauthor  year sf4  sf8 sf9       en  den    ydata   yddata
 41648004  Yu.A.Prokhorov  1956  --  MXW  -- 2.53E-02  NAN 4.40E-02 1.00E-02
 10997002  W.V.Prestwich+  1981  --  MXW  -- 2.53E-02  NAN 3.50E-03 1.60E-04
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year sf4 sf8    sf9       en  den    ydata   yddata
 V1001024  S.F.Mughabghab  2006  --  --  RECOM 2.53E-02  NAN 3.50E-03 7.00E-05



6-C-12 (n,g)
# Evaluated data
# Maxw.(n,g)                     |  (n,g)
#          NAN (+/-       NAN)   |     3.87E-03  (+/-  3.00E-05)
# EXFOR data mean
#     3.87E-03 (+/-  3.00E-05)
# EXFOR MXW/SPA data mean
#     3.54E-03 (+/-  2.07E-04)
# ------ EXFOR data ------
  dataset     firstauthor  year     sf4 sf8 sf9       en  den    ydata   yddata
 31768009  R.B.Firestone+  2016  6-C-13  --  -- 2.53E-02  NAN 3.87E-03 3.00E-05
# ------ MXW/SPA data ------
  dataset  firstauthor  year     sf4  sf8 sf9       en  den    ydata   yddata
 11133004    E.Jurney+  1963  6-C-13  MXW  -- 2.53E-02  NAN 3.80E-03 4.00E-04
 12744003  E.T.Jurney+  1982  6-C-13  MXW  -- 2.53E-02  NAN 3.53E-03 7.00E-05
 11345002   G.R.Hennig  1957  6-C-13  SPA  -- 2.53E-02  NAN 3.29E-03 1.50E-04
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year     sf4 sf8    sf9       en  den    ydata   yddata
 V1001025  S.F.Mughabghab  2006  6-C-13  --  RECOM 2.53E-02  NAN 3.53E-03 7.00E-05



6-C-13 (n,g)
# Evaluated data
# Maxw.(n,g)                     |  (n,g)
#     1.50E-03 (+/-  2.00E-05)   |          NAN  (+/-       NAN)
# EXFOR data mean
#     1.51E-03 (+/-  4.40E-05)
# EXFOR MXW/SPA data mean
#     1.01E-03 (+/-  1.88E-04)
# ------ EXFOR data ------
  dataset     firstauthor  year     sf4 sf8 sf9       en  den    ydata   yddata
 31768011  R.B.Firestone+  2016  6-C-14  --  -- 2.53E-02  NAN 1.50E-03 1.80E-05
 23538002       T.Wright+  2019  6-C-14  --  -- 2.53E-02  NAN 1.52E-03 7.00E-05
# ------ MXW/SPA data ------
  dataset       firstauthor  year     sf4  sf8 sf9       en  den    ydata   yddata
 11342002         H.T.Motz+  1963  6-C-14  MXW  -- 2.53E-02  NAN 1.00E-03 2.00E-04
 12799002   S.F.Mughabghab+  1982  6-C-14  MXW  -- 2.53E-02  NAN 1.37E-03 4.00E-05
 11309002        G.R.Hennig  1954  6-C-14  SPA  -- 2.53E-02  NAN 9.00E-04 2.00E-04
 11337002  G.A.Bartholomew+  1957  6-C-14  SPA  -- 2.53E-02  NAN 1.00E-03 3.00E-04
 11264002   G.A.Bartholomew  1961  6-C-14  SPA  -- 2.53E-02  NAN 8.00E-04 2.00E-04
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year     sf4 sf8    sf9       en  den    ydata   yddata
 V1001028  S.F.Mughabghab  2006  6-C-14  --  RECOM 2.53E-02  NAN 1.37E-03 4.00E-05



6-C-14 (n,g)
# Evaluated data
# Maxw.(n,g)                     |  (n,g)
#     1.00E-06 (+/-       NAN)   |          NAN  (+/-       NAN)
# EXFOR data mean
#          NAN (+/-       NAN)
# EXFOR MXW/SPA data mean
#          NAN (+/-       NAN)
# ------ EXFOR data ------
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year     sf4 sf8    sf9       en  den    ydata  yddata
 V1001030  S.F.Mughabghab  2006  6-C-15  --  RECOM 2.53E-02  NAN 1.00E-06     NAN



7-N-0 (n,g)
# no Evaluated data
# EXFOR data mean
#          NAN (+/-       NAN)
# EXFOR MXW/SPA data mean
#          NAN (+/-       NAN)
# ------ EXFOR data ------
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year sf4 sf8    sf9       en  den    ydata   yddata
 V1001031  S.F.Mughabghab  2006  --  --  RECOM 2.53E-02  NAN 7.47E-02 7.30E-03



7-N-14 (n,g)
# Evaluated data
# Maxw.(n,g)                     |  (n,g)
#     8.01E-02 (+/-  6.00E-04)   |          NAN  (+/-       NAN)
# EXFOR data mean
#     8.00E-02 (+/-  4.00E-04)
# EXFOR MXW/SPA data mean
#     9.02E-02 (+/-  6.17E-03)
# ------ EXFOR data ------
  dataset     firstauthor  year     sf4 sf8 sf9       en  den    ydata   yddata
 31768004  R.B.Firestone+  2016  7-N-15  --  -- 2.53E-02  NAN 8.00E-02 4.00E-04
# ------ MXW/SPA data ------
  dataset       firstauthor  year     sf4  sf8 sf9       en  den    ydata   yddata
 11133005         E.Jurney+  1963  7-N-15  MXW  -- 2.53E-02  NAN 7.50E-02 7.50E-03
 11273002       B.B.Kinsey+  1951  7-N-15  SPA  -- 2.53E-02  NAN 1.60E-01      NAN
 11014003  G.A.Bartholomew+  1957  7-N-15  SPA  -- 2.53E-02  NAN 8.00E-02 2.00E-02
 12718002        M.A.Islam+  1981  7-N-15  SPA  -- 2.53E-02  NAN 7.67E-02 2.70E-03
 12718003        M.A.Islam+  1981  7-N-15  SPA  -- 2.53E-02  NAN 7.97E-02 2.40E-03
 13151002        M.A.Islam+  1990  7-N-15  SPA  -- 2.53E-02  NAN 7.97E-02 2.40E-03
 13151003        M.A.Islam+  1990  7-N-15  SPA  -- 2.53E-02  NAN 8.01E-02 2.00E-03
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year     sf4 sf8    sf9       en  den    ydata   yddata
 V1001032  S.F.Mughabghab  2006  7-N-15  --  RECOM 2.53E-02  NAN 8.01E-02 6.00E-04



7-N-15 (n,g)
# Evaluated data
# Maxw.(n,g)                     |  (n,g)
#     2.40E-05 (+/-  8.00E-06)   |          NAN  (+/-       NAN)
# EXFOR data mean
#     3.96E-05 (+/-  1.40E-06)
# EXFOR MXW/SPA data mean
#          NAN (+/-       NAN)
# ------ EXFOR data ------
  dataset     firstauthor  year     sf4 sf8 sf9       en  den    ydata   yddata
 31768007  R.B.Firestone+  2016  7-N-16  --  -- 2.53E-02  NAN 3.96E-05 1.40E-06
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year     sf4 sf8    sf9       en  den    ydata   yddata
 V1001034  S.F.Mughabghab  2006  7-N-16  --  RECOM 2.53E-02  NAN 2.40E-05 8.00E-06



8-O-0 (n,g)
# no Evaluated data
# EXFOR data mean
#          NAN (+/-       NAN)
# EXFOR MXW/SPA data mean
#          NAN (+/-       NAN)
# ------ EXFOR data ------
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year sf4 sf8    sf9       en  den    ydata   yddata
 V1001037  S.F.Mughabghab  2006  --  --  RECOM 2.53E-02  NAN 1.90E-04 2.00E-05



8-O-16 (n,g)
# Evaluated data
# Maxw.(n,g)                     |  (n,g)
#     1.90E-04 (+/-  1.90E-05)   |          NAN  (+/-       NAN)
# EXFOR data mean
#     1.86E-04 (+/-  2.95E-05)
# EXFOR MXW/SPA data mean
#     1.82E-04 (+/-  1.75E-05)
# ------ EXFOR data ------
  dataset     firstauthor  year     sf4 sf8 sf9       en  den    ydata   yddata
 10668004   A.B.Mcdonald+  1977  8-O-17  --  -- 2.53E-02  NAN 2.02E-04 2.80E-05
 23296011  R.B.Firestone+  2016  8-O-17  --  -- 2.53E-02  NAN 1.70E-04 3.11E-05
# ------ MXW/SPA data ------
  dataset firstauthor  year     sf4  sf8 sf9       en  den    ydata   yddata
 11133006   E.Jurney+  1963  8-O-17  MXW  -- 2.53E-02  NAN 1.78E-04 2.50E-05
 20674006    N.Wuest+  1979  8-O-17  MXW  -- 2.53E-02  NAN 1.87E-04 1.00E-05
# ------ Recom./Eval./Deriv. data ------
  dataset     firstauthor  year     sf4 sf8    sf9       en  den    ydata   yddata
 V1001038  S.F.Mughabghab  2006  8-O-17  --  RECOM 2.53E-02  NAN 1.90E-04 1.90E-05



8-O-17 (n,g)
# Evaluated data
# Maxw.(n,g)                     |  (n,g)
#     5.38E-04 (+/-  6.50E-05)   |          NAN  (+/-       NAN)
# EXFOR data mean
#     7.03E-04 (+/-  6.17E-05)
# EXFOR MXW/SPA data mean
#     5.38E-04 (+/-  6.50E-05)
# ------ EXFOR data ------
  dataset     firstauthor  year     sf4 sf8 sf9       en  den    ydata   yddata
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 7.10E-04 7.00E-05
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 6.50E-04 2.00E-05
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 6.40E-04 5.00E-05
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 5.90E-04 5.00E-05
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 7.20E-04 8.00E-05
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 6.60E-04 2.00E-05
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 5.60E-04 3.00E-05
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 6.40E-04 7.00E-05
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 6.40E-04 4.00E-05
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 6.50E-04 9.00E-05
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 5.80E-04 1.10E-04
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 6.80E-04 4.00E-05
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 6.80E-04 8.00E-05
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 5.90E-04 5.00E-05
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 8.50E-04 7.00E-05
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 7.80E-04 2.00E-05
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 7.40E-04 6.00E-05
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 7.10E-04 5.00E-05
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 7.90E-04 8.00E-05
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 7.80E-04 2.00E-05
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 6.80E-04 3.00E-05
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 7.80E-04 8.00E-05
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 7.80E-04 4.00E-05
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 7.60E-04 1.00E-04
 23296014  R.B.Firestone+  2016  8-O-18  --  -- 2.53E-02  NAN 7.80E-04 1.20E-04
